00000:f(p)=35.000 p=[0.0, 0.0, 0.0] gp=[-9.98999999999981, -1.9899999999999807, -5.989999999999895] glen=11.81695
00480:f(p)=0.000 p=[4.99469306 0.99493886 2.99481596] gp=[-0.00061388 -0.00012228 -0.00036808] glen=0.00073
00490:f(p)=0.000 p=[4.99474921 0.99495004 2.99484963] gp=[-5.01582733e-04 -9.99148788e-05 -3.00748806e-04] glen=0.00059
00500:f(p)=0.000 p=[4.99479509 0.99495918 2.99487713] gp=[-4.09829612e-04 -8.16377304e-05 -2.45733671e-04] glen=0.00048
00510:f(p)=0.000 p=[4.99483257 0.99496665 2.99489961] gp=[-3.34860631e-04 -6.67039696e-05 -2.00782300e-04] glen=0.00040
00520:f(p)=0.000 p=[4.9948632  0.99497275 2.99491797] gp=[-2.73605516e-04 -5.45019996e-05 -1.64053758e-04] glen=0.00032
00530:f(p)=0.000 p=[4.99488822 0.99497773 2.99493298] gp=[-2.23555627e-04 -4.45321018e-05 -1.34043864e-04] glen=0.00026
00540:f(p)=0.000 p=[4.99490867 0.99498181 2.99494524] gp=[-1.82661223e-04 -3.63859694e-05 -1.09523596e-04] glen=0.00022
00550:f(p)=0.000 p=[4.99492538 0.99498514 2.99495526] gp=[-1.49247519e-04 -2.97299862e-05 -8.94887524e-05] glen=0.00018
00560:f(p)=0.000 p=[4.99493903 0.99498785 2.99496344] gp=[-1.21946089e-04 -2.42915633e-05 -7.31188261e-05] glen=0.00014
00570:f(p)=0.000 p=[4.99495018 0.99499008 2.99497013] gp=[-9.96388331e-05 -1.98479758e-05 -5.97434045e-05] glen=0.00012
00580:f(p)=0.000 p=[4.99495929 0.99499189 2.99497559] gp=[-8.14121811e-05 -1.62172413e-05 -4.88147112e-05] glen=0.00010
00590:f(p)=0.000 p=[4.99496674 0.99499337 2.99498006] gp=[-6.65196793e-05 -1.32506668e-05 -3.98851731e-05] glen=0.00008
00600:f(p)=0.000 p=[4.99497282 0.99499459 2.99498371] gp=[-5.43514211e-05 -1.08267596e-05 -3.25890903e-05] glen=0.00006
00610:f(p)=0.000 p=[4.9949778  0.99499558 2.99498669] gp=[-4.44090682e-05 -8.84625082e-06 -2.66276595e-05] glen=0.00005
00620:f(p)=0.000 p=[4.99498186 0.99499639 2.99498912] gp=[-3.62854420e-05 -7.22803099e-06 -2.17567365e-05] glen=0.00004
00630:f(p)=0.000 p=[4.99498518 0.99499705 2.99499111] gp=[-2.96478479e-05 -5.90582757e-06 -1.77768378e-05] glen=0.00004
00640:f(p)=0.000 p=[4.99498789 0.99499759 2.99499274] gp=[-2.42244503e-05 -4.82549111e-06 -1.45249707e-05] glen=0.00003
00650:f(p)=0.000 p=[4.9949901  0.99499803 2.99499407] gp=[-1.97931396e-05 -3.94277756e-06 -1.18679586e-05] glen=0.00002
00660:f(p)=0.000 p=[4.99499191 0.99499839 2.99499515] gp=[-1.61724362e-05 -3.22153633e-06 -9.69698624e-06] glen=0.00002
00670:f(p)=0.000 p=[4.99499339 0.99499868 2.99499604] gp=[-1.32140578e-05 -2.63222973e-06 -7.92314377e-06] glen=0.00002
00680:f(p)=0.000 p=[4.9949946  0.99499892 2.99499676] gp=[-1.07968473e-05 -2.15072334e-06 -6.47378532e-06] glen=0.00001
00690:f(p)=0.000 p=[4.99499559 0.99499912 2.99499736] gp=[-8.82181032e-06 -1.75729755e-06 -5.28955394e-06] glen=0.00001

00693:f(p)=0.000 p=[4.99499585 0.99499917 2.99499751] gp=[-8.30301730e-06 -1.65395440e-06 -4.97848585e-06] glen=0.00001
