PS C:\Users\alex2\Desktop\NQU\alg112a\習題\習題10> python .\Npoly.py
p= [-0.6794306416873515] f(p)= 0.8552143079704411
p= [-0.6868879866325903] f(p)= 0.847092212572679
p= [-0.695394889406967] f(p)= 0.8373861720732896
p= [-0.7037218737597237] f(p)= 0.8274141237105238
p= [-0.7124583849615624] f(p)= 0.8164317742401443
p= [-0.721916363665783] f(p)= 0.8039194888627809
p= [-0.7241987160949678] f(p)= 0.8008002666744308
p= [-0.7326342235695322] f(p)= 0.7889253829151409
p= [-0.741805175555464] f(p)= 0.775379548781546
p= [-0.7503127494683325] f(p)= 0.7622001202502233
p= [-0.7515935187874325] f(p)= 0.7601635805146413
p= [-0.7551827523518507] f(p)= 0.7543819310185522
p= [-0.7641728748907365] f(p)= 0.7394097938400912
p= [-0.7694268572675691] f(p)= 0.730327471237372
p= [-0.7748235795484236] f(p)= 0.7207365211545285
p= [-0.7776911410603116] f(p)= 0.7155304675608551
p= [-0.7865999129846419] f(p)= 0.6988592898946369
p= [-0.7936824144947249] f(p)= 0.6850556736327968
p= [-0.7943338644628515] f(p)= 0.6837610276278496
p= [-0.8021575148495319] f(p)= 0.6678775122904799
p= [-0.8067353599525856] f(p)= 0.6582917498733426
p= [-0.8080249813837401] f(p)= 0.6555517842399361
p= [-0.8080931053690471] f(p)= 0.6554065588896785
p= [-0.8143756566019897] f(p)= 0.6418013736358594
p= [-0.815338034726439] f(p)= 0.6396798820014067
p= [-0.8211750476918519] f(p)= 0.6265962097879161
p= [-0.8237033314005003] f(p)= 0.6208124126976197
p= [-0.8306990207305307] f(p)= 0.6044344219125124
p= [-0.8315509234840847] f(p)= 0.6024019451919449
p= [-0.8411583239663514] f(p)= 0.578896612589203
p= [-0.8456417494697858] f(p)= 0.5675538051105676
p= [-0.8460407599627517] f(p)= 0.5665326074221659
p= [-0.8518826141790192] f(p)= 0.551359191359117
p= [-0.8608407491432227] f(p)= 0.5272689987733382
p= [-0.8656228164684461] f(p)= 0.5139919349686903
p= [-0.8743408792276912] f(p)= 0.48901997871318215
p= [-0.8827005042651132] f(p)= 0.464120833200803
p= [-0.8915279505565262] f(p)= 0.4367842162790029
p= [-0.8926974045690625] f(p)= 0.43308054554320263
p= [-0.9019116964668142] f(p)= 0.4032119811773608
p= [-0.902187624965038] f(p)= 0.4022985236227804
p= [-0.9087046147899105] f(p)= 0.3803967773070641
p= [-0.9124477842110381] f(p)= 0.3675297466265366
p= [-0.9214840966424688] f(p)= 0.33558531624072496
p= [-0.930777617869861] f(p)= 0.30139826971584593
p= [-0.9373671419842607] f(p)= 0.2763165688310001
p= [-0.9388230465867871] f(p)= 0.27067901235315117
p= [-0.9467288787198338] f(p)= 0.2394493803485247
p= [-0.9468280443531965] f(p)= 0.23905097544521858
p= [-0.9558299726289446] f(p)= 0.20218311336655492
p= [-0.9578637777135319] f(p)= 0.19365898294804185
p= [-0.9638422348078654] f(p)= 0.16817922249312012
p= [-0.9655886275279624] f(p)= 0.16061595379488514
p= [-0.972641599280319] f(p)= 0.12950916962817627
p= [-0.9754202753176667] f(p)= 0.11700368023410945
p= [-0.9761547621810809] f(p)= 0.11367420955131735
p= [-0.9857405252447319] f(p)= 0.06929283560581323
p= [-0.986595657580292] f(p)= 0.0652488715955245
p= [-0.9880817970109694] f(p)= 0.05818740771898345
p= [-0.9903439743374032] f(p)= 0.0473566997790692
p= [-0.9980717565364994] f(p)= 0.009604107714323185
p= [-0.9998929070815205] f(p)= 0.0005353499157475516

 ([-0.9998929070815205], 0.0005353499157475516)
